Joseph's knife,AtLocation,grazing_field
Joseph's bench,AtLocation,classroom
Charles's mouse,AtLocation,pizza_place
William's cat,AtLocation,road
Elizabeth's mouse,AtLocation,field_romping
Robert's cat,AtLocation,fenced_in_area
Jessica's frisbee,AtLocation,store
Linda's sports_ball,AtLocation,furniture_store
Linda's airplane,AtLocation,dentist
Jessica's horse,AtLocation,hands_of_teacher
Susan's book,AtLocation,cat_litter_tray
William's cat,AtLocation,living_room
Jennifer's book,AtLocation,branch_of_tree
Joseph's dog,AtLocation,lobby
Thomas's bird,AtLocation,pet_shop
Richard's book,AtLocation,confession
Mary's cat,AtLocation,soup
John's bed,AtLocation,bibliography_of_another_book
Elizabeth's cat,AtLocation,race_track
Patricia's cow,AtLocation,cutlery_drawer
John's person,AtLocation,sky
Jessica's handbag,AtLocation,corner_of_two_streets
Richard's umbrella,AtLocation,laundry_basket
Robert's book,AtLocation,grocery_store
Thomas's spoon,AtLocation,store_at_beach
Jennifer's sports_ball,AtLocation,floor
Karen's bear,AtLocation,chemistry_lab
Karen's car,AtLocation,butcher's_when_dead
Robert's book,AtLocation,silverware_drawer
John's bowl,AtLocation,womens_department
Richard's traffic_light,AtLocation,research_laboratory
Sarah's mouse,AtLocation,cabinet
Jessica's clock,AtLocation,hole_in_wall
Richard's dog,AtLocation,slaughter_house
Barbara's frisbee,AtLocation,airplane
Richard's cat,AtLocation,cat's_mouth
Mary's car,AtLocation,grainery
Charles's boat,AtLocation,housewares_store
James's bed,AtLocation,briefcase
Richard's dog,AtLocation,tom_and_jerry_cartoon
Richard's apple,AtLocation,state_fair
Michael's elephant,AtLocation,nest
Barbara's mouse,AtLocation,jacket_closet
Joseph's dog,AtLocation,knife_block
Karen's zebra,AtLocation,quandry
Richard's sheep,AtLocation,dogs_mouth
Jennifer's cat,AtLocation,serving_dish
Joseph's umbrella,AtLocation,hospital
Jessica's dog,AtLocation,dishwasher
Mary's tv,AtLocation,countryside
Charles's dog,AtLocation,stove
Jennifer's dog,AtLocation,liquor_store
Elizabeth's horse,AtLocation,auditorium
Jessica's keyboard,AtLocation,frisbee_golf_course
Patricia's fork,AtLocation,belly
Charles's cake,AtLocation,petshop
Thomas's dog,AtLocation,car_dealership
Patricia's bird,AtLocation,bag
Susan's cat,AtLocation,college_store
Barbara's stop_sign,AtLocation,soup
Elizabeth's umbrella,AtLocation,cow_barn
Michael's dog,AtLocation,home
Barbara's mouse,AtLocation,stable_or_pasture
Mary's boat,AtLocation,nest
Richard's chair,AtLocation,bedside_table
Patricia's cat,AtLocation,hands_of_teacher
Mary's boat,AtLocation,restaurant
Linda's kite,AtLocation,equestrian_competition
Robert's mouse,AtLocation,cream
Sarah's cow,AtLocation,lawn
Joseph's book,AtLocation,laundry_room
William's mouse,AtLocation,war
James's sink,AtLocation,soccer_game
Thomas's chair,AtLocation,cow_pasture
Jessica's cow,AtLocation,fairy_tale
Sarah's knife,AtLocation,american_southwest
Sarah's bicycle,AtLocation,glass_of_iced_tea
Linda's toothbrush,AtLocation,bookshop
Charles's cow,AtLocation,farm
William's book,AtLocation,sunbeam
Richard's cat,AtLocation,parking_lot
Mary's book,AtLocation,most_rooms
Joseph's cat,AtLocation,child's_hand
Jennifer's cat,AtLocation,loft
Sarah's bed,AtLocation,lobby
Joseph's sink,AtLocation,onstage_at_concert
Barbara's cat,AtLocation,onstage_at_concert
Jessica's oven,AtLocation,knife_store
Mary's cat,AtLocation,cat
Thomas's knife,AtLocation,seats
Barbara's laptop,AtLocation,department_store
Barbara's knife,AtLocation,farmer's_pasture
Elizabeth's zebra,AtLocation,driveway
David's cat,AtLocation,parade
Patricia's airplane,AtLocation,iowa
David's knife,AtLocation,hospital
William's cow,AtLocation,scrap_heap
Jessica's bed,AtLocation,repair_shop
Barbara's spoon,AtLocation,toffee_apple
David's toilet,AtLocation,basement
Jessica's mouse,AtLocation,floor
Robert's bed,AtLocation,mouth
Susan's person,AtLocation,highway
Robert's book,AtLocation,netherlands
John's chair,AtLocation,woman's_closet
Robert's apple,AtLocation,butcher's_when_dead
James's cat,AtLocation,car_show
Linda's cat,AtLocation,ocala_florida
William's bicycle,AtLocation,small_hole
Joseph's apple,AtLocation,wal_mart
John's sink,AtLocation,esquestrian_event
William's apple,AtLocation,grainery
James's fork,AtLocation,netherlands
Richard's airplane,AtLocation,mousehouse
Susan's bowl,AtLocation,living_room
Elizabeth's horse,AtLocation,garden
Patricia's cat,AtLocation,state_fair
Robert's fork,AtLocation,trap
Karen's bed,AtLocation,barn_or_racing_track
Karen's book,AtLocation,basement
Barbara's cat,AtLocation,car
