Barbara's chair,AtLocation,Barbara's apartment,0
Patricia's keyboard,AtLocation,Patricia's refrigerator,1
Michael's mouse,AtLocation,Michael's garage,2
Robert's elephant,AtLocation,Robert's circus,3
James's bowl,AtLocation,James's closet,4
Sarah's toothbrush,AtLocation,Sarah's home,5
David's sandwich,AtLocation,David's pantry,6
Karen's refrigerator,AtLocation,Karen's garage,7
Mary's book,AtLocation,Mary's water,8
David's spoon,AtLocation,David's bowl,9
Elizabeth's elephant,AtLocation,Elizabeth's table,10
Joseph's sandwich,AtLocation,Joseph's park,11
Richard's bench,AtLocation,Richard's refrigerator,12
Sarah's broccoli,AtLocation,Sarah's oven,13
Sarah's apple,AtLocation,Sarah's refrigerator,14
James's chair,AtLocation,James's office,15
James's elephant,AtLocation,James's city,16
Jennifer's mouse,AtLocation,Jennifer's garage,17
Sarah's sandwich,AtLocation,Sarah's plate,18
Charles's bottle,AtLocation,Charles's pantry,19
Patricia's car,AtLocation,Patricia's park,20
Jennifer's chair,AtLocation,Jennifer's circus,21
Richard's cake,AtLocation,Richard's bakery,22
Richard's bus,AtLocation,Richard's city,23
William's truck,AtLocation,William's park,24
David's truck,AtLocation,David's oven,25
Mary's keyboard,AtLocation,Mary's bowl,26
William's spoon,AtLocation,William's bowl,27
Robert's pizza,AtLocation,Robert's oven,28
John's vase,AtLocation,John's pantry,29
Elizabeth's bus,AtLocation,Elizabeth's city,30
Karen's cow,AtLocation,Karen's countryside,31
Mary's banana,AtLocation,Mary's airplane,32
Patricia's motorcycle,AtLocation,Patricia's garage,33
Sarah's car,AtLocation,Sarah's city,34
Michael's sink,AtLocation,Michael's kitchen,35
Sarah's elephant,AtLocation,Sarah's circus,36
Charles's bicycle,AtLocation,Charles's garage,37
Mary's bear,AtLocation,Mary's sky,38
Barbara's umbrella,AtLocation,Barbara's plate,39
Joseph's clock,AtLocation,Joseph's desk,40
James's toilet,AtLocation,James's bowl,41
Linda's chair,AtLocation,Linda's office,42
Linda's bowl,AtLocation,Linda's bowl,43
David's airplane,AtLocation,David's garden,44
Patricia's dog,AtLocation,Patricia's park,45
Richard's spoon,AtLocation,Richard's bowl,46
Richard's toilet,AtLocation,Richard's bathroom,47
Thomas's bear,AtLocation,Thomas's park,48
Patricia's cat,AtLocation,Patricia's lap,49
Charles's scissors,AtLocation,Charles's refrigerator,50
Richard's cow,AtLocation,Richard's countryside,51
Patricia's bear,AtLocation,Patricia's apartment,52
Robert's mouse,AtLocation,Robert's bathroom,53
James's refrigerator,AtLocation,James's garage,54
Sarah's clock,AtLocation,Sarah's desk,55
William's bowl,AtLocation,William's closet,56
Elizabeth's horse,AtLocation,Elizabeth's circus,57
Barbara's bottle,AtLocation,Barbara's store,58
Barbara's dog,AtLocation,Barbara's table,59
William's bear,AtLocation,William's farm,60
David's person,AtLocation,David's building,61
Joseph's airplane,AtLocation,Joseph's park,62
Jessica's cow,AtLocation,Jessica's water,63
Jessica's chair,AtLocation,Jessica's countryside,64
David's bed,AtLocation,David's house,65
